Name;Name_ru;Designation;Constell;Vmag;HIP;Bayer;RA;Dec;
Nikawiy;Никавий;HD 136418;Boo;7.88;0;_ Boo;229.77576;41.733206;
Nosaxa;Носакса;HD 48265;Pup;8.05;92855;σ Sgr;100.007196;-48.541956;
Nunki;Нунки;HR 7121;Sgr;2.05;75695;β CrB;283.81636;-26.296724;
Nusakan;Нусакан;HR 5747;CrB;3.66;13192;_ Cas;231.957211;29.105699;
Nushagak;Нушагак;HD 17156;Cas;8.17;0;_ Cen;42.435361;71.753231;
Nyamien;Ньямиен;WASP-15;Cen;10.91;40687;_ UMa;208.927967;-32.159615;
Ogma;Огма;HD 149026;Her;8.16;80838;- Her;247.623409;38.347311;
Okab;Окаб;HR 7235;Aql;2.99;93747;ζ Aql;286.352533;13.863477;
Paikauhale;Пайкаухале;HR 6165;Sco;2.82;81266;τ Sco;248.970637;-28.216017;
Parumleo;Парумлео;WASP-32;Psc;11.54;0;_ Psc;3.961699;1.200441;
Peacock;Пикок;HR 7790;Pav;1.94;100751;α Pav;306.411904;-56.73509;
Petra;Петра;WASP-80;Aql;11.88;0;_ Aql;303.167372;-2.14422;
Phact;Факт;HR 1956;Col;2.65;26634;α Col;84.912254;-34.07411;
Phecda;Фекда;HR 4554;UMa;2.41;58001;γ UMa;178.457679;53.694758;
Pherkad;Феркад;HR 5735;UMi;3;75097;γ UMi;230.18215;71.834017;
Phoenicia;Финикия;HD 192263;Aql;7.79;99711;V1703 Aql;303.499356;-0.866881;
Piautos;Пиаутос;HR 3268;Cnc;5.92;40881;λ Cnc;125.133901;24.022311;
Pincoya;Пинкойя;HD 164604;Sgr;9.66;88414;_ Sgr;270.778888;-28.560655;
Pipirima;Пипирима;HR 6252;Sco;3.56;82545;μ2 Sco;253.083939;-38.017535;
Pipoltr;Пиполтр;TrES-3;Her;12.37;0;V1434 Her;268.029244;37.546177;
Pleione;Плейона;HR 1180;Tau;5.05;17851;28 Tau;57.296738;24.13671;
Poerava;Поерава;HD 221287;Tuc;7.82;116084;_ Tuc;352.834742;-58.209731;
Polaris;Полярная;HR 424;UMi;1.97;11767;α UMi;37.954561;89.264109;
Polaris Australis;Южнополярная;HR 7228;Oct;5.45;104382;σ Oct;317.195164;-88.956499;
Polis;Полис;HR 6812;Sgr;3.84;89341;μ Sgr;273.44087;-21.058832;
Pollux;Поллукс;HR 2990;Gem;1.16;37826;β Gem;116.328958;28.026199;
Porrima;Поррима;HR 4825;Vir;2.74;61941;γ Vir;190.415181;-1.449373;
Praecipua;Преципуа;HR 4247;LMi;3.79;53229;46 LMi;163.327937;34.214872;
Prima Hyadum;Прима Хиадум;HR 1346;Tau;3.65;20205;γ Tau;64.948349;15.627643;
Procyon;Процион;HR 2943;CMi;0.4;37279;α CMi;114.825493;5.224993;
Propus;Пропус;HR 2216;Gem;3.31;29655;η Gem;93.719405;22.506794;
Proxima Centauri;Проксима Центавра;GJ 551;Cen;11.01;70890;α Cen;217.428953;-62.679484;
Ran;Ран;HR 1084;Eri;3.73;16537;ε Eri;53.232687;-9.458259;
Rana;Рана;HR 1136;Eri;3.53;17378;δ Eri;55.812086;-9.763392;
Rapeto;Рапето;HD 153950;Sco;7.39;83547;_ Sco;256.128629;-43.30977;
Rasalas;Расаляс;HR 3905;Leo;3.88;48455;μ Leo;148.190903;26.006953;
Rasalgethi;Расальгети;HR 6406;Her;3.37;84345;α1 Her;258.66191;14.390333;
Rasalhague;Расальхаг;HR 6556;Oph;2.08;86032;α Oph;263.733627;12.560035;
Rastaban;Растабан;HR 6536;Dra;2.79;85670;β Dra;262.608174;52.301389;
Regulus;Регул;HR 3982;Leo;1.36;49669;α Leo;152.092962;11.967209;
Revati;Ревати;HR 361;Psc;5.21;5737;ζ Psc;18.432864;7.575354;
Rigel;Ригель;HR 1713;Ori;0.18;24436;β Ori;78.634467;-8.201638;
Rigil Kentaurus;Ригель Кентаврус;HR 5459;Cen;-0.01;71683;α Cen;219.902066;-60.833975;
Rosaliadecastro;Росалиядекастро;HD 149143;Oph;7.89;81022;_ Oph;248.212712;2.084828;
Rotanev;Ротанев;HR 7882;Del;3.64;101769;β Del;309.387235;14.595115;
Ruchbah;Рукба;HR 403;Cas;2.66;6686;δ Cas;21.453964;60.235284;
Rukbat;Рукбат;HR 7348;Sgr;3.96;95347;α Sgr;290.97157;-40.61594;
Sabik;Сабик;HR 6378;Oph;2.43;84012;η Oph;257.594529;-15.724907;
Saclateni;Саклатени;HR 1612;Aur;3.69;23453;ζ Aur;75.619531;41.075839;
Sadachbia;Садахбия;HR 8518;Aqr;3.86;110395;γ Aqr;335.414064;-1.387334;
Sadalbari;Садалбари;HR 8684;Peg;3.51;112748;μ Peg;342.500809;24.601577;
Sadalmelik;Садалмелик;HR 8414;Aqr;2.95;109074;α Aqr;331.445983;-0.319849;
Sadalsuud;Садалсууд;HR 8232;Aqr;2.9;106278;β Aqr;322.889715;-5.571176;
Sadr;Садр;HR 7796;Cyg;2.23;100453;γ Cyg;305.557091;40.256679;
Sagarmatha;Сагарматха;HD 100777;Leo;8.42;56572;_ Leo;173.964679;-4.755695;
Saiph;Саиф;HR 2004;Ori;2.07;27366;κ Ori;86.93912;-9.669605;
Salm;Сальма;HR 8880;Peg;4.58;11525;τ Peg;350.159341;23.740336;
Samaya;Самайя;HD 205739;PsA;8.56;0;_ Sge;324.535016;-31.737484;
Sansuna;Сансуна;HAT-P-34;Sge;10.31;86228;θ Sco;303.195361;18.104833;
Sargas;Саргас;HR 6553;Sco;1.86;84379;δ Her;264.329711;-42.997824;
Sarin;Сарин;HR 6410;Her;3.12;21594;53 Eri;258.757963;24.839204;
Sceptrum;Скептрум;HR 1481;Eri;4.02;113881;β Peg;69.545104;-14.304017;
Scheat;Шеат;HR 8775;Peg;2.44;3179;α Cas;345.943572;28.082785;
Schedar;Шедар;HR 168;Cas;2.24;20455;δ1 Tau;10.126838;56.537331;
Secunda Hyadum;Секунда Хиадум;HR 1373;Tau;3.78;8886;ε Cas;65.733719;17.542514;
Segin;Сегин;HR 0542;Cas;3.35;71075;γ Boo;28.598857;63.670101;
Seginus;Сегинус;HR 5435;Boo;3.04;96757;α Sge;218.019466;38.308251;
Sham;Шам;HR 7479;Sge;4.39;55664;_ Leo;295.024133;18.013891;
Shama;Шама;HD 99109;Leo;9.1;79431;_ Sco;171.072328;-1.529073;
Sharjah;Шарджа;HIP 79431;Sco;11.34;85927;λ Sco;243.174084;-18.875503;
Shaula;Шаула;HR 6527;Sco;1.62;9242;β Lyr;263.402167;-37.103824;
Sheliak;Шелиак;HR 7106;Lyr;3.52;8903;β Ari;282.519978;33.362668;
Sheratan;Шератан;HR 553;Ari;2.64;95262;_ Sgr;28.660046;20.808031;
Sika;Сика;HD 181720;Sgr;7.84;32349;α CMa;290.72077;-32.919053;
Sirius;Сириус;HR 2491;CMa;-1.44;11171;κ Aqr;101.287155;-16.716116;
Situla;Ситула;HR 8610;Aqr;5.04;113136;δ Aqr;339.439084;-4.228056;
Skat;Скат;HR 8709;Aqr;3.27;0;_ Peg;343.662556;-15.820827;
Solaris;Солярис;BD+14-4559;Peg;9.78;65474;α Vir;318.399959;14.689385;
Spica;Спика;HR 5056;Vir;0.98;0;_ And;201.298247;-11.161319;
Sterrennacht;Стерреннахт;HAT-P-6;And;10.54;43674;_ Lyn;354.774209;42.465973;
Stribor;Стрибор;HD 75898;Lyn;8.03;101958;α Del;133.461689;33.056812;
Sualocin;Суалоцин;HR 7906;Del;3.77;47508;ο Leo;309.90953;15.912073;
Subra;Субра;HR 3852;Leo;3.52;44816;λ Vel;145.28764;9.892308;
Suhail;Сухайль;HR 3634;Vel;2.23;93194;γ Lyr;136.998993;-43.432589;
Sulafat;Сулафат;HR 7178;Lyr;3.25;69701;ι Vir;284.735928;32.689557;
Syrma;Сирма;HR 5338;Vir;4.07;106824;_ PsA;214.003623;-6.000545;
Tabit;Табит;HR 1543;Ori;3.19;22449;π3 Ori;72.460045;6.961275;
Taika;Тайка;HAT-P-40;Lac;11.35;0;_ Lac;335.512865;45.457366;
Taiyangshou;Тайяншоу;HR 4518;UMa;3.69;57399;χ UMa;176.512559;47.779406;
Taiyi;Тайи;HR 4916;Dra;5.23;63076;8 Dra;193.868951;65.438474;
Talitha;Талитха;HR 3569;UMa;3.12;44127;ι UMa;134.80189;48.041826;
Tangra;Тангра;WASP-21;Peg;11.55;0;_ Peg;347.492723;18.396078;
Tania Australis;Тания Австралис;HR 4069;UMa;3.06;50801;μ UMa;155.58225;41.499519;
Tania Borealis;Тания Бореалис;HR 4033;UMa;3.45;50372;λ UMa;154.274095;42.914356;
Tapecue;Тапекью;HD 63765;Car;8.1;38041;_ Car;116.957168;-54.264144;
Tarazed;Таразед;HR 7525;Aql;2.72;97278;γ Aql;296.564915;10.613262;
Tarf;Тарф;HR 3249;Cnc;3.53;40526;β Cnc;124.128838;9.185544;
Taygeta;Тайгета;HR 1145;Tau;4.3;17531;19 Tau;56.302063;24.46727;
Tegmine;Тегмен;HR 3208;Cnc;4.67;40167;ζ Cnc;123.05316;17.647821;
Tejat;Теят;HR 2286;Gem;2.87;30343;μ Gem;95.740112;22.513583;
Terebellum;Теребеллум;HR 7597;Sgr;4.7;98066;ω Sgr;298.959838;-26.299534;
Tevel;Тевел;HAT-P-9;Aur;12.26;0;_ Aur;110.168568;37.140651;
Theemin;Теемин;HR 1464;Eri;3.81;21393;υ2 Eri;68.88766;-30.562341;
Thuban;Тубан;HR 5291;Dra;3.67;68756;α Dra;211.097291;64.375851;
Tiaki;Тиаки;HR 8636;Gru;2.12;112122;β Gru;340.666876;-46.884576;
Tianguan;Тяньгуан;HR 1910;Tau;2.97;26451;ζ Tau;84.411189;21.142544;
Tianyi;Тяньи;HR 4863;Dra;5.43;62423;7 Dra;191.893099;66.790305;
Timir;Тимир;HD 148427;Oph;6.89;80687;_ Oph;247.117296;-13.399636;
Tislit;Тислит;WASP-161;Pup;10.77;0;_ Pup;126.337846;-11.500986;
Titawin;Титавин;HR 458;And;4.09;7513;υ And;24.199342;41.405457;
Tojil;Тоджил;WASP-22;Eri;11.71;0;_ Eri;52.818029;-23.819678;
Toliman;Толиман;HR 5460;Cen;1.35;71681;α Cen;219.896096;-60.837528;
Tonatiuh;Тонатиу;HR 4609;Cam;5.8;58952;- Cam;181.312995;76.905735;
Torcular;Торкуляр;HR 510;Psc;4.29;8198;ο Psc;26.348466;9.157737;
Tuiren;Туирен;HAT-P-36;CVn;12.25;0;_ CVn;188.266276;44.915333;
Tupa;Тупа;HD 108147;Cru;6.99;17096;_ Ret;186.442779;-64.022088;
Tupi;Тупи;HD 23079;Ret;7.12;60644;_ Cru;54.929567;-52.915838;
Tureis;Турейс;HR 3185;Pup;2.83;39757;ρ Pup;121.886037;-24.304324;
Ukdah;Укдах;HR 3845;Hya;3.9;47431;ι Hya;144.964008;-1.14281;
Uklun;Уклун;HD 102117;Cen;7.47;57291;_ Cen;176.210254;-58.70371;
Unukalhai;Унукалхай;HR 5854;Ser;2.63;7707;α Ser;236.066976;6.425629;
Unurgunite;Унургуните;HR 2646;CMa;3.49;33856;σ CMa;105.429782;-27.93483;
Uruk;Урук;HD 231701;Sge;8.97;96078;_ Sge;293.017338;16.474289;
Vega;Вега;HR 7001;Lyr;0.03;91262;α Lyr;279.234735;38.783689;
Veritate;Веритате;HR 8930;And;5.22;116076;14 And;352.822556;39.236197;
Vindemiatrix;Виндемиатрикс;HR 4932;Vir;2.85;63608;_ Vir;195.544157;10.959149;
Wasat;Васат;HR 2777;Gem;3.5;3555;δ Gem;110.030749;21.982316;
Wazn;Вазн;HR 2040;Col;3.12;27628;β Col;87.739968;-35.76831;
Wezen;Везен;HR 2693;CMa;1.83;34444;δ CMa;107.09785;-26.3932;
Wurren;Вуррен;HR 338;Phe;4.02;5348;ζ Phe;17.096173;-55.245758;
Xamidimura;Ксамидимура;HR 6247;Sco;3;82514;μ1 Sco;252.96763;-38.04738;
Xihe;Сихэ;HD 173416;Lyr;6.04;91852;_ Lyr;280.900456;36.556606;
Xuange;Сюаньгэ;HR 5351;Boo;4.18;69732;λ Boo;214.095912;46.088306;
Yed Posterior;Йед Постериор;HR 6075;Oph;3.23;79882;ε Oph;244.580374;-4.69251;
Yed Prior;Йед Приор;HR 6056;Oph;2.73;79593;δ Oph;243.586411;-3.694323;
Yildun;Йилдун;HR 6789;UMi;4.35;85822;δ UMi;263.054126;86.586462;
Zaniah;Заниах;HR 4689;Vir;3.89;60129;η Vir;184.976476;-0.666793;
Zaurak;Заурак;HR 1231;Eri;2.97;18543;γ Eri;59.50736;-13.508516;
Zavijava;Завиява;HR 4540;Vir;3.59;57757;β Vir;177.673826;1.764717;
Zhang;Чжанг;HR 3903;Hya;4.11;48356;υ1 Hya;147.869558;-14.846603;
Zibal;Зибаль;HR 984;Eri;4.8;15197;ζ Eri;48.958436;-8.819731;
Zosma;Зосма;HR 4357;Leo;2.56;54872;δ Leo;168.527089;20.523718;
Zubenelgenubi;Зубен эль Генуби;HR 5531;Lib;2.75;72622;α2 Lib;222.719638;-16.041777;
Zubenelhakrabi;Зубен эль Хакраби;HR 5787;Lib;3.91;76333;γ Lib;233.881578;-14.789536;
Zubeneschamali;Зубен эль Шемали;HR 5685;Lib;2.61;74785;β Lib;229.251724;-9.382914;
